country_name,year,hdi
Australia,2020,0.95
Australia,2021,0.954
Australia,2022,0.952
Australia,2023,0.958
Brazil,2020,0.77
Brazil,2021,0.768
Brazil,2022,0.78
Brazil,2023,0.786
Germany,2020,0.955
Germany,2021,0.958
Germany,2022,0.955
Germany,2023,0.959
India,2020,0.652
India,2021,0.647
India,2022,0.676
India,2023,0.685
Japan,2020,0.922
Japan,2021,0.922
Japan,2022,0.921
Japan,2023,0.925
United Kingdom,2020,0.93
United Kingdom,2021,0.941
United Kingdom,2022,0.946
United Kingdom,2023,0.946
United States,2020,0.925
United States,2021,0.921
United States,2022,0.93
United States,2023,0.938
